cycle,start,end,length,maximum
1,1755.455,1766.455,11,178.7
2,1766.455,1775.538,9.083,263.7
3,1775.538,1784.54,9.002,398.2
4,1784.54,1798.538,13.998,262.2
5,1798.538,1810.371,11.833,103.8
6,1810.371,1823.204,12.833,160.3
7,1823.204,1833.874,10.67,177.3
8,1833.874,1843.958,10.084,343.8
9,1843.958,1856.373,12.415,300.6
10,1856.373,1867.123,10.75,221.9
11,1867.123,1879.204,12.081,293.6
12,1879.204,1889.874,10.67,152.6
13,1889.874,1901.958,12.084,215.4
14,1901.958,1913.455,11.497,180.3
15,1913.455,1923.623,10.168,257.7
16,1923.623,1933.958,10.335,179.9
17,1933.958,1944.29,10.332,275.6
18,1944.29,1954.288,9.998,285
19,1954.288,1964.54,10.252,359.4
20,1964.54,1976.54,12,192.3
21,1976.54,1986.455,9.915,266.9
22,1986.455,1996.791,10.336,284.5
23,1996.791,2009.623,12.832,244.3
24,2009.623,2020.706,11.083,146.1
